DATE PM2p5 PM10 CO O3 NO2 SO2
20150906 7 13 0.3 0.030 0.011 0.004
20150907 7 13 0.3 0.025 0.020 0.004
20150908 7 12 0.3 0.026 0.019 0.004
20150909 8 16 0.3 0.027 0.019 0.004
20150910 13 28 0.3 0.023 0.024 0.004
20150911 21 37 0.5 0.022 0.026 0.005
20150912 11 21 0.3 0.021 0.023 0.004
20150913 10 21 0.3 0.029 0.017 0.004
20150914 17 31 0.5 0.024 0.034 0.005
20150915 14 25 0.4 0.023 0.031 0.004
20150916 8 16 0.3 0.027 0.022 0.004
20150917 6 12 0.3 0.027 0.017 0.004
20150918 11 20 0.4 0.025 0.029 0.004
20150919 16 32 0.4 0.021 0.031 0.004
20150920 30 48 0.5 0.030 0.029 0.005
20150921 30 47 0.6 0.026 0.039 0.005
20150922 25 40 0.6 0.030 0.043 0.005
20150923 25 41 0.5 0.014 0.051 0.005
20150924 22 37 0.5 0.022 0.040 0.005
20150925 22 37 0.5 0.030 0.037 0.005
20150926 28 49 0.6 0.030 0.029 0.005
20150927 15 34 0.4 0.023 0.028 0.004
20150928 14 31 0.4 0.026 0.026 0.004
20150929 10 23 0.3 0.030 0.015 0.004
20150930 8 18 0.3 0.024 0.022 0.004
20151001 8 15 0.4 0.017 0.022 0.004
20151002 10 29 0.3 0.024 0.022 0.005
20151003 17 42 0.4 0.037 0.019 0.005
20151004 12 28 0.4 0.023 0.026 0.004
20151005 14 28 0.5 0.014 0.040 0.004
20151006 16 31 0.5 0.014 0.044 0.005
20151007 23 46 0.5 0.013 0.047 0.005
20151008 27 52 0.5 0.022 0.039 0.005
20151009 11 33 0.3 0.027 0.018 0.005
20151010 11 22 0.4 0.021 0.025 0.004
20151011 9 16 0.4 0.016 0.021 0.004
20151012 10 18 0.3 0.017 0.019 0.004
20151013 16 31 0.5 0.015 0.037 0.005
20151014 26 48 0.7 0.012 0.053 0.005
20151015 36 59 0.8 0.016 0.059 0.006
20151016 43 70 0.8 0.016 0.060 0.006
20151017 34 59 0.7 0.017 0.054 0.005
20151018 48 76 0.7 0.026 0.045 0.005
20151019 62 98 0.8 0.022 0.048 0.006
20151020 57 97 0.8 0.019 0.048 0.006
20151021 70 117 0.8 0.021 0.045 0.006
20151022 48 81 0.6 0.016 0.039 0.005
20151023 29 52 0.5 0.016 0.037 0.005
20151024 21 35 0.5 0.022 0.029 0.004
20151025 16 29 0.5 0.020 0.029 0.004
20151026 16 31 0.4 0.012 0.037 0.004
20151027 13 36 0.4 0.022 0.021 0.004
20151028 13 31 0.4 0.018 0.026 0.005
20151029 12 23 0.4 0.016 0.027 0.004
20151030 10 28 0.4 0.019 0.019 0.004
20151031 16 32 0.5 0.013 0.031 0.005
20151101 24 41 0.6 0.005 0.044 0.005
20151102 29 52 0.7 0.010 0.046 0.006
20151103 42 71 0.9 0.013 0.055 0.006
20151104 55 86 0.9 0.009 0.067 0.008
20151105 52 81 0.9 0.012 0.063 0.006
20151106 32 48 0.6 0.021 0.031 0.004
20151107 8 10 0.4 0.022 0.020 0.003
20151108 3 5 0.3 0.023 0.017 0.003
20151109 8 13 0.4 0.013 0.025 0.003
20151110 31 46 0.7 0.007 0.034 0.004
20151111 26 42 0.7 0.005 0.043 0.004
20151112 10 16 0.5 0.012 0.032 0.004
20151113 8 13 0.4 0.012 0.031 0.004
20151114 8 12 0.5 0.008 0.034 0.004
20151115 12 19 0.5 0.009 0.031 0.004
20151116 17 28 0.6 0.003 0.035 0.004
20151117 12 20 0.6 0.011 0.030 0.004
20151118 6 10 0.4 0.017 0.021 0.004
20151119 8 14 0.4 0.009 0.028 0.004
20151120 22 38 0.6 0.008 0.035 0.005
20151121 33 51 0.8 0.010 0.041 0.005
20151122 20 31 0.6 0.011 0.030 0.004
20151123 5 8 0.4 0.014 0.023 0.003
20151124 15 24 0.5 0.013 0.025 0.004
20151125 9 12 0.4 0.015 0.023 0.004
20151126 24 34 0.4 0.023 0.017 0.005
20151127 26 39 0.5 0.018 0.025 0.005
20151128 28 44 0.6 0.008 0.040 0.005
20151129 29 39 0.6 0.005 0.034 0.004
20151130 29 43 0.7 0.010 0.037 0.006
20151201 32 52 1.0 0.004 0.049 0.006
20151202 31 52 0.9 0.009 0.040 0.006
20151203 12 20 0.4 0.016 0.019 0.004
20151204 15 39 0.5 0.015 0.027 0.004
20151205 16 34 0.6 0.014 0.033 0.005
20151206 19 34 0.6 0.011 0.034 0.006
20151207 29 51 0.8 0.004 0.049 0.005
20151208 36 63 1.0 0.003 0.065 0.007
20151209 39 69 1.1 0.003 0.064 0.007
20151210 28 47 0.9 0.003 0.048 0.006
20151211 21 33 0.6 0.015 0.029 0.005
20151212 16 31 0.6 0.015 0.035 0.005
20151213 25 42 0.8 0.007 0.045 0.006
20151214 29 47 0.8 0.003 0.046 0.005
20151215 33 54 0.7 0.013 0.031 0.005
20151216 13 28 0.4 0.021 0.016 0.005
20151217 11 20 0.4 0.016 0.018 0.004
20151218 23 42 0.8 0.004 0.043 0.006
20151219 36 62 1.0 0.004 0.048 0.006
20151220 35 56 1.0 0.004 0.050 0.006
20151221 34 52 0.8 0.004 0.044 0.005
20151222 40 65 0.8 0.004 0.044 0.005
20151223 37 59 0.9 0.005 0.050 0.006
20151224 61 98 0.9 0.012 0.041 0.007
20151225 16 29 0.5 0.017 0.027 0.006
20151226 40 75 0.8 0.012 0.035 0.006
20151227 16 29 0.4 0.019 0.020 0.005
20151228 15 27 0.5 0.014 0.027 0.005
20151229 32 57 1.0 0.004 0.052 0.007
20151230 36 60 0.8 0.004 0.050 0.006
20151231 43 64 0.8 0.007 0.042 0.006
20160101 45 68 1.0 0.006 0.047 0.006
20160102 31 51 0.7 0.009 0.044 0.006
20160103 58 96 0.9 0.013 0.049 0.007
20160104 47 74 0.6 0.025 0.025 0.006
20160105 16 32 0.4 0.016 0.025 0.006
20160106 29 56 0.7 0.008 0.041 0.007
20160107 20 39 0.5 0.016 0.026 0.006
20160108 18 34 0.5 0.014 0.030 0.006
20160109 19 37 0.5 0.014 0.032 0.006
20160110 19 32 0.5 0.020 0.026 0.006
20160111 21 40 0.5 0.017 0.028 0.006
20160112 24 49 0.6 0.012 0.035 0.006
20160113 20 38 0.5 0.014 0.032 0.005
20160114 21 43 0.6 0.011 0.037 0.006
20160115 29 51 0.7 0.007 0.049 0.006
20160116 43 69 0.8 0.005 0.049 0.006
20160117 46 69 0.9 0.007 0.047 0.006
20160118 32 56 0.6 0.021 0.023 0.005
20160119 13 33 0.4 0.024 0.015 0.005
20160120 22 38 0.5 0.014 0.031 0.005
20160121 30 51 0.7 0.011 0.039 0.006
20160122 27 50 0.6 0.014 0.034 0.006
20160123 14 32 0.4 0.026 0.015 0.005
20160124 19 38 0.4 0.024 0.015 0.006
20160125 17 50 0.5 0.014 0.033 0.006
20160126 37 78 0.9 0.005 0.055 0.008
20160127 31 63 0.8 0.012 0.047 0.007
20160128 31 58 0.9 0.005 0.056 0.006
20160129 26 50 0.7 0.009 0.043 0.007
20160130 24 40 0.8 0.009 0.042 0.006
20160131 21 39 0.5 0.025 0.020 0.006
20160201 18 40 0.5 0.021 0.025 0.005
20160202 22 45 0.6 0.015 0.038 0.006
20160203 30 56 0.9 0.009 0.054 0.007
20160204 30 55 0.8 0.015 0.043 0.007
20160205 21 45 0.6 0.018 0.035 0.007
20160206 24 50 0.5 0.025 0.023 0.007
20160207 24 46 0.6 0.015 0.034 0.006
20160208 41 73 0.7 0.024 0.031 0.007
20160209 25 50 0.5 0.027 0.020 0.007
20160210 22 40 0.8 0.009 0.045 0.006
20160211 25 46 0.8 0.010 0.050 0.007
20160212 21 33 0.7 0.010 0.042 0.005
20160213 10 15 0.7 0.006 0.035 0.005
20160214 17 29 0.4 0.023 0.014 0.005
20160215 11 33 0.4 0.027 0.018 0.004
20160216 15 27 0.5 0.018 0.029 0.005
20160217 15 38 0.5 0.015 0.036 0.005
20160218 22 44 0.6 0.021 0.038 0.006
20160219 41 82 0.9 0.008 0.046 0.007
20160220 18 44 0.5 0.020 0.031 0.005
20160221 12 26 0.4 0.029 0.019 0.005
20160222 18 43 0.5 0.011 0.042 0.005
20160223 27 53 0.5 0.020 0.029 0.005
20160224 17 32 0.4 0.023 0.026 0.005
20160225 28 51 0.6 0.020 0.034 0.006
20160226 28 49 0.6 0.022 0.036 0.007
20160227 40 65 0.6 0.019 0.040 0.006
20160228 28 46 0.6 0.016 0.041 0.005
20160229 28 54 0.4 0.029 0.020 0.005
20160301 17 31 0.4 0.027 0.024 0.005
20160302 20 36 0.5 0.020 0.036 0.006
20160303 30 56 0.5 0.019 0.044 0.005
20160304 36 68 0.6 0.018 0.046 0.006
20160305 14 22 0.5 0.012 0.032 0.005
20160306 23 94 0.5 0.024 0.023 0.005
20160307 28 108 0.7 0.008 0.049 0.005
20160308 20 71 0.5 0.027 0.023 0.005
20160309 15 44 0.4 0.027 0.018 0.005
20160310 14 35 0.4 0.029 0.017 0.005
20160311 17 36 0.4 0.029 0.023 0.005
20160312 19 43 0.5 0.024 0.032 0.005
20160313 35 61 0.6 0.026 0.035 0.006
20160314 42 64 0.6 0.032 0.029 0.005
20160315 28 57 0.6 0.021 0.046 0.006
20160316 32 64 0.6 0.020 0.053 0.008
20160317 40 76 0.9 0.008 0.074 0.007
20160318 36 66 0.8 0.020 0.056 0.007
20160319 39 77 0.6 0.029 0.035 0.005
20160320 44 83 0.7 0.024 0.042 0.007
20160321 48 87 0.7 0.022 0.051 0.007
20160322 44 72 0.6 0.028 0.044 0.006
20160323 46 81 0.5 0.032 0.030 0.005
20160324 21 41 0.4 0.029 0.027 0.004
20160325 35 70 0.6 0.023 0.042 0.006
20160326 40 66 0.6 0.026 0.042 0.005
20160327 40 66 0.6 0.037 0.035 0.006
20160328 40 70 0.6 0.033 0.048 0.008
20160329 51 97 0.6 0.049 0.035 0.007
20160330 48 91 0.6 0.031 0.039 0.006
20160331 22 51 0.6 0.017 0.057 0.007
20160401 30 72 0.7 0.024 0.061 0.007
20160402 39 80 0.7 0.037 0.050 0.008
20160403 31 52 0.5 0.028 0.029 0.004
20160404 12 29 0.5 0.021 0.033 0.004
20160405 22 58 0.5 0.028 0.038 0.007
20160406 36 74 0.6 0.027 0.050 0.008
20160407 24 43 0.5 0.033 0.030 0.005
20160408 39 77 0.5 0.030 0.034 0.006
20160409 58 117 0.8 0.019 0.041 0.006
20160410 68 134 0.8 0.039 0.031 0.006
20160411 20 46 0.4 0.031 0.031 0.004
20160412 27 57 0.5 0.030 0.035 0.005
20160413 32 58 0.6 0.021 0.045 0.005
20160414 30 57 0.6 0.017 0.042 0.005
20160415 27 54 0.6 0.031 0.039 0.005
20160416 24 51 0.5 0.029 0.040 0.005
20160417 16 46 0.4 0.040 0.015 0.004
20160418 23 63 0.5 0.035 0.025 0.005
20160419 20 45 0.4 0.030 0.031 0.004
20160420 31 63 0.6 0.020 0.047 0.005
20160421 17 27 0.4 0.028 0.031 0.004
20160422 47 81 0.6 0.034 0.031 0.005
20160423 42 198 0.6 0.027 0.032 0.005
20160424 26 144 0.5 0.031 0.031 0.004
20160425 24 76 0.6 0.023 0.051 0.005
20160426 29 78 0.6 0.037 0.039 0.005
20160427 16 50 0.4 0.045 0.021 0.004
20160428 20 58 0.4 0.035 0.033 0.004
20160429 27 63 0.5 0.039 0.033 0.005
20160430 35 76 0.6 0.058 0.027 0.007
20160501 20 45 0.5 0.050 0.024 0.005
20160502 24 46 0.5 0.030 0.030 0.004
20160503 9 19 0.3 0.030 0.015 0.004
20160504 12 49 0.3 0.041 0.018 0.004
20160505 21 54 0.6 0.030 0.036 0.005
20160506 22 46 0.5 0.022 0.032 0.004
20160507 22 112 0.5 0.030 0.026 0.005
20160508 16 52 0.5 0.039 0.027 0.005
20160509 21 59 0.5 0.038 0.033 0.005
20160510 14 31 0.4 0.036 0.022 0.004
20160511 13 29 0.4 0.034 0.027 0.004
20160512 15 29 0.4 0.035 0.030 0.005
20160513 21 39 0.5 0.043 0.024 0.004
20160514 18 34 0.4 0.039 0.030 0.005
20160515 19 33 0.4 0.039 0.020 0.004
20160516 17 35 0.5 0.042 0.021 0.005
20160517 37 67 0.6 0.041 0.041 0.008
20160518 28 51 0.6 0.033 0.045 0.006
20160519 20 39 0.5 0.033 0.041 0.004
20160520 30 52 0.5 0.041 0.048 0.005
20160521 25 38 0.4 0.042 0.036 0.004
20160522 38 55 0.5 0.053 0.033 0.005
20160523 45 68 0.5 0.047 0.041 0.006
20160524 23 33 0.4 0.042 0.023 0.004
20160525 61 90 0.5 0.053 0.024 0.005
20160526 71 106 0.7 0.038 0.038 0.006
20160527 54 91 0.6 0.037 0.038 0.005
20160528 39 77 0.5 0.039 0.037 0.006
20160529 42 82 0.6 0.045 0.032 0.007
20160530 54 92 0.6 0.052 0.032 0.006
20160531 46 78 0.5 0.044 0.028 0.006
20160601 22 41 0.4 0.039 0.025 0.004
20160602 18 36 0.4 0.039 0.031 0.005
20160603 25 46 0.4 0.043 0.034 0.005
20160604 28 52 0.5 0.033 0.036 0.004
20160605 28 50 0.4 0.047 0.028 0.004
20160606 13 22 0.3 0.044 0.018 0.004
20160607 26 42 0.4 0.033 0.029 0.005
20160608 24 38 0.4 0.027 0.028 0.004
20160609 31 53 0.4 0.028 0.034 0.005
20160610 36 60 0.5 0.034 0.039 0.006
20160611 31 48 0.4 0.026 0.023 0.005
20160612 20 30 0.3 0.024 0.016 0.004
20160613 36 63 0.5 0.031 0.028 0.004
20160614 31 51 0.5 0.035 0.033 0.005
20160615 23 36 0.4 0.029 0.024 0.004
20160616 19 31 0.4 0.043 0.019 0.004
20160617 36 54 0.5 0.054 0.025 0.005
20160618 45 66 0.6 0.048 0.031 0.005
20160619 28 40 0.5 0.035 0.024 0.004
20160620 35 52 0.5 0.043 0.030 0.005
20160621 42 62 0.6 0.046 0.042 0.005
20160622 48 70 0.6 0.034 0.038 0.005
20160623 30 44 0.5 0.036 0.029 0.005
20160624 32 55 0.4 0.032 0.027 0.004
20160625 17 32 0.4 0.040 0.021 0.005
20160626 18 31 0.4 0.041 0.019 0.005
20160627 21 35 0.4 0.034 0.034 0.006
20160628 41 61 0.5 0.040 0.034 0.005
20160629 24 36 0.4 0.039 0.030 0.005
20160630 20 30 0.4 0.028 0.022 0.004
20160701 14 21 0.3 0.018 0.024 0.004
20160702 9 14 0.3 0.029 0.019 0.004
20160703 29 41 0.4 0.043 0.019 0.004
20160704 14 21 0.4 0.021 0.025 0.003
20160705 8 13 0.4 0.012 0.019 0.004
20160706 9 18 0.4 0.023 0.024 0.004
20160707 26 42 0.5 0.025 0.038 0.006
20160708 36 56 0.5 0.034 0.032 0.004
20160709 23 39 0.4 0.029 0.026 0.004
20160710 22 35 0.4 0.030 0.028 0.005
20160711 36 54 0.5 0.039 0.035 0.005
20160712 27 38 0.4 0.026 0.030 0.006
20160713 17 30 0.3 0.014 0.025 0.005
20160714 17 29 0.3 0.030 0.023 0.004
20160715 10 18 0.3 0.026 0.020 0.004
20160716 5 9 0.3 0.018 0.017 0.004
20160717 9 14 0.3 0.021 0.015 0.004
20160718 16 28 0.4 0.018 0.025 0.005
20160719 21 36 0.4 0.036 0.030 0.004
20160720 23 37 0.4 0.037 0.028 0.004
20160721 19 31 0.4 0.035 0.025 0.004
20160722 23 36 0.4 0.036 0.024 0.004
20160723 27 41 0.4 0.028 0.024 0.004
20160724 25 38 0.3 0.019 0.019 0.004
20160725 31 44 0.3 0.019 0.023 0.005
20160726 23 34 0.3 0.015 0.019 0.005
20160727 23 35 0.3 0.016 0.019 0.004
20160728 39 57 0.5 0.040 0.020 0.004
20160729 29 46 0.5 0.020 0.031 0.004
20160730 30 44 0.4 0.029 0.023 0.004
20160731 27 39 0.3 0.018 0.017 0.004
20160801 22 33 0.4 0.014 0.021 0.004
20160802 16 27 0.4 0.013 0.025 0.004
20160803 17 29 0.4 0.027 0.028 0.004
20160804 20 32 0.4 0.029 0.027 0.004
20160805 26 40 0.5 0.039 0.030 0.004
20160806 39 59 0.6 0.049 0.030 0.004
20160807 25 36 0.4 0.038 0.022 0.004
20160808 25 40 0.4 0.030 0.023 0.004
20160809 22 32 0.4 0.036 0.027 0.004
20160810 44 64 0.5 0.039 0.027 0.005
20160811 20 32 0.4 0.026 0.023 0.004
20160812 28 42 0.4 0.027 0.024 0.004
20160813 25 36 0.3 0.021 0.019 0.004
20160814 27 36 0.3 0.020 0.014 0.004
20160815 23 36 0.4 0.030 0.018 0.004
20160816 29 46 0.5 0.037 0.027 0.005
20160817 25 42 0.4 0.034 0.027 0.004
20160818 35 53 0.5 0.043 0.033 0.005
20160819 42 60 0.5 0.039 0.037 0.005
20160820 21 33 0.4 0.038 0.023 0.004
20160821 18 27 0.3 0.043 0.017 0.004
20160822 18 29 0.3 0.036 0.023 0.004
20160823 21 34 0.4 0.032 0.028 0.004
20160824 22 35 0.4 0.030 0.029 0.005
20160825 18 30 0.4 0.025 0.026 0.004
20160826 6 14 0.3 0.029 0.015 0.004
20160827 5 13 0.3 0.028 0.016 0.004
20160828 4 11 0.3 0.023 0.011 0.004
20160829 7 16 0.3 0.020 0.018 0.004
20160830 9 28 0.3 0.022 0.017 0.004
20160831 7 18 0.3 0.018 0.018 0.004
20160901 33 60 0.6 0.040 0.027 0.005
20160902 23 33 0.4 0.039 0.020 0.004
20160903 13 21 0.4 0.030 0.024 0.004
20160904 13 22 0.5 0.021 0.022 0.004
20160905 17 31 0.5 0.022 0.026 0.004
20160906 35 58 0.5 0.027 0.031 0.005
20160907 51 76 0.6 0.029 0.030 0.005
20160908 30 48 0.6 0.019 0.035 0.005
20160909 27 42 0.6 0.025 0.032 0.004
20160910 27 41 0.5 0.032 0.029 0.004
20160911 27 39 0.5 0.039 0.020 0.004
20160912 18 29 0.5 0.018 0.026 0.004
20160913 10 18 0.4 0.022 0.025 0.004
20160914 21 32 0.5 0.032 0.024 0.004
20160915 27 41 0.5 0.028 0.023 0.004
20160916 35 50 0.5 0.036 0.022 0.007
20160917 20 29 0.4 0.036 0.013 0.004
20160918 13 23 0.3 0.035 0.011 0.003
20160919 5 13 0.3 0.027 0.014 0.003
20160920 10 18 0.3 0.029 0.017 0.003
20160921 22 33 0.4 0.024 0.026 0.004
20160922 26 40 0.4 0.026 0.030 0.004
20160923 33 51 0.5 0.031 0.037 0.004
20160924 41 61 0.6 0.041 0.038 0.005
20160925 36 53 0.5 0.032 0.035 0.005
20160926 29 45 0.5 0.018 0.040 0.004
20160927 23 35 0.5 0.008 0.037 0.004
20160928 21 35 0.5 0.010 0.030 0.004
20160929 6 14 0.4 0.015 0.017 0.004
20160930 14 30 0.4 0.012 0.030 0.004
20161001 26 45 0.6 0.012 0.037 0.004
20161002 17 29 0.5 0.011 0.026 0.004
20161003 9 17 0.4 0.021 0.019 0.004
20161004 15 30 0.5 0.020 0.025 0.004
20161005 13 26 0.4 0.026 0.020 0.004
20161006 18 38 0.5 0.024 0.023 0.004
20161007 12 26 0.4 0.018 0.024 0.004
20161008 10 21 0.4 0.028 0.016 0.004
20161009 9 18 0.3 0.027 0.012 0.004
20161010 11 27 0.4 0.018 0.028 0.004
20161011 22 44 0.6 0.013 0.042 0.005
20161012 29 55 0.5 0.022 0.027 0.004
20161013 20 42 0.5 0.014 0.038 0.005
20161014 41 72 0.7 0.012 0.048 0.005
20161015 49 78 0.8 0.016 0.047 0.005
20161016 36 54 0.6 0.012 0.035 0.004
20161017 32 51 0.6 0.017 0.032 0.004
20161018 29 55 0.7 0.012 0.039 0.004
20161019 36 64 0.7 0.021 0.050 0.005
20161020 37 64 0.7 0.023 0.041 0.004
20161021 12 24 0.4 0.023 0.023 0.004
20161022 15 29 0.4 0.022 0.024 0.004
20161023 6 11 0.3 0.025 0.014 0.003
20161024 7 17 0.3 0.018 0.024 0.003
20161025 9 16 0.5 0.013 0.027 0.003
20161026 21 41 0.8 0.007 0.034 0.004
20161027 22 44 0.6 0.009 0.032 0.004
20161028 17 37 0.5 0.018 0.026 0.004
20161029 16 35 0.3 0.023 0.019 0.004
20161030 12 26 0.4 0.015 0.028 0.004
20161031 15 29 0.5 0.009 0.034 0.005
20161101 10 23 0.3 0.021 0.020 0.004
20161102 16 35 0.5 0.010 0.038 0.004
20161103 23 41 0.6 0.012 0.043 0.005
20161104 33 60 0.6 0.025 0.038 0.006
20161105 44 75 0.6 0.036 0.033 0.005
20161106 19 32 0.4 0.023 0.023 0.004
20161107 23 34 0.4 0.019 0.027 0.004
20161108 49 64 0.5 0.025 0.019 0.004
20161109 27 41 0.5 0.015 0.031 0.004
20161110 26 41 0.6 0.004 0.044 0.004
20161111 22 50 0.6 0.015 0.035 0.004
20161112 31 75 0.7 0.016 0.042 0.005
20161113 30 62 0.6 0.014 0.040 0.005
20161114 29 53 0.7 0.007 0.044 0.004
20161115 20 58 0.4 0.020 0.023 0.004
20161116 27 54 0.6 0.006 0.044 0.005
20161117 39 74 0.9 0.006 0.051 0.005
20161118 54 94 1.0 0.005 0.056 0.006
20161119 34 56 0.6 0.011 0.041 0.005
20161120 24 44 0.6 0.019 0.024 0.004
20161121 29 62 0.7 0.008 0.042 0.004
20161122 18 43 0.4 0.020 0.019 0.004
20161123 15 38 0.4 0.016 0.022 0.004
20161124 13 27 0.4 0.019 0.023 0.005
20161125 21 39 0.7 0.008 0.042 0.005
20161126 36 54 0.8 0.003 0.046 0.005
20161127 48 71 0.8 0.004 0.040 0.005
20161128 39 81 0.6 0.015 0.027 0.005
20161129 23 40 0.7 0.007 0.042 0.005
20161130 27 46 0.7 0.003 0.048 0.006
20161201 26 50 0.5 0.020 0.022 0.005
20161202 17 37 0.6 0.010 0.036 0.005
20161203 30 54 0.8 0.006 0.051 0.006
20161204 53 81 1.0 0.003 0.058 0.006
20161205 56 85 0.8 0.014 0.036 0.006
20161206 12 26 0.4 0.015 0.026 0.005
20161207 27 51 0.7 0.005 0.046 0.006
20161208 34 56 0.8 0.005 0.045 0.005
20161209 23 34 0.5 0.016 0.026 0.005
20161210 21 34 0.5 0.014 0.029 0.004
20161211 22 35 0.7 0.010 0.036 0.005
20161212 29 46 0.8 0.003 0.047 0.005
20161213 40 62 0.9 0.008 0.043 0.006
20161214 30 53 0.6 0.008 0.030 0.005
20161215 17 35 0.5 0.017 0.021 0.005
20161216 17 33 0.5 0.013 0.030 0.005
20161217 35 57 0.9 0.005 0.050 0.006
20161218 33 49 0.8 0.006 0.045 0.005
20161219 24 38 0.7 0.006 0.041 0.005
20161220 34 53 0.9 0.005 0.047 0.005
20161221 25 40 0.7 0.006 0.038 0.005
20161222 21 30 0.6 0.011 0.025 0.004
20161223 36 52 0.5 0.016 0.018 0.004
20161224 51 67 0.7 0.010 0.028 0.005
20161225 42 56 0.9 0.005 0.035 0.004
20161226 33 50 0.9 0.005 0.040 0.005
20161227 27 41 0.5 0.019 0.019 0.005
20161228 25 44 0.6 0.009 0.036 0.005
20161229 16 35 0.5 0.014 0.026 0.005
20161230 24 42 0.7 0.006 0.042 0.005
20161231 40 58 1.0 0.003 0.051 0.006
20170101 57 77 1.0 0.004 0.046 0.005
20170102 79 110 0.9 0.016 0.040 0.006
20170103 52 79 0.8 0.013 0.043 0.006
20170104 35 55 0.9 0.009 0.051 0.006
20170105 22 36 0.7 0.011 0.036 0.005
20170106 13 20 0.5 0.013 0.035 0.004
20170107 37 54 0.9 0.005 0.049 0.005
20170108 22 31 0.6 0.015 0.032 0.004
20170109 46 59 0.6 0.027 0.021 0.005
20170110 16 31 0.4 0.023 0.020 0.005
20170111 12 24 0.5 0.015 0.029 0.005
20170112 16 30 0.5 0.017 0.028 0.005
20170113 13 30 0.4 0.022 0.019 0.004
20170114 12 44 0.4 0.024 0.013 0.004
20170115 14 27 0.5 0.016 0.022 0.004
20170116 26 47 0.8 0.006 0.042 0.005
20170117 45 68 1.1 0.003 0.060 0.007
20170118 73 99 1.1 0.005 0.053 0.007
20170119 72 102 1.0 0.007 0.052 0.006
20170120 40 57 0.6 0.019 0.030 0.005
20170121 34 48 0.7 0.008 0.042 0.005
20170122 27 75 0.5 0.028 0.015 0.006
20170123 35 47 0.5 0.021 0.025 0.005
20170124 28 39 0.6 0.013 0.039 0.005
20170125 36 49 0.8 0.008 0.050 0.005
20170126 48 64 1.0 0.009 0.055 0.006
20170127 20 107 0.4 0.026 0.016 0.004
20170128 12 32 0.6 0.011 0.033 0.004
20170129 16 27 0.7 0.006 0.037 0.004
20170130 34 48 0.5 0.027 0.016 0.005
20170131 18 29 0.6 0.011 0.036 0.004
20170201 21 35 0.6 0.018 0.031 0.005
20170202 17 32 0.6 0.017 0.033 0.005
20170203 45 68 0.8 0.017 0.046 0.006
20170204 70 96 1.1 0.004 0.061 0.005
20170205 55 70 0.8 0.015 0.037 0.005
20170206 27 40 0.5 0.028 0.021 0.005
20170207 23 40 0.5 0.008 0.041 0.005
20170208 30 53 0.7 0.009 0.042 0.006
20170209 18 50 0.4 0.026 0.017 0.005
20170210 17 32 0.4 0.027 0.015 0.004
20170211 16 29 0.4 0.024 0.019 0.004
20170212 18 31 0.6 0.019 0.029 0.005
20170213 28 43 0.8 0.008 0.049 0.006
20170214 32 51 0.6 0.019 0.038 0.005
20170215 41 60 0.9 0.008 0.059 0.008
20170216 46 69 1.0 0.012 0.056 0.007
20170217 17 46 0.4 0.029 0.018 0.004
20170218 17 31 0.5 0.027 0.022 0.005
20170219 26 43 0.6 0.019 0.034 0.005
20170220 22 43 0.4 0.030 0.017 0.004
20170221 29 46 0.7 0.013 0.043 0.005
20170222 28 40 0.7 0.008 0.043 0.004
20170223 21 34 0.4 0.033 0.017 0.005
20170224 17 28 0.5 0.023 0.030 0.005
20170225 30 46 0.7 0.019 0.037 0.006
20170226 32 47 0.6 0.023 0.030 0.005
20170227 24 38 0.7 0.014 0.042 0.005
20170228 26 42 0.7 0.015 0.049 0.006
20170301 41 57 0.6 0.020 0.044 0.006
20170302 22 33 0.4 0.030 0.021 0.004
20170303 22 43 0.6 0.019 0.038 0.005
20170304 32 51 0.7 0.013 0.048 0.005
20170305 48 67 0.7 0.024 0.038 0.005
20170306 25 36 0.4 0.032 0.017 0.004
20170307 20 33 0.4 0.034 0.016 0.004
20170308 20 43 0.5 0.029 0.023 0.004
20170309 21 46 0.5 0.027 0.028 0.005
20170310 26 44 0.5 0.022 0.038 0.005
20170311 40 62 0.7 0.017 0.055 0.007
20170312 64 89 0.8 0.025 0.051 0.007
20170313 42 61 0.5 0.033 0.024 0.004
20170314 29 49 0.5 0.031 0.024 0.004
20170315 24 41 0.5 0.022 0.035 0.004
20170316 43 63 0.6 0.021 0.050 0.005
20170317 54 74 0.7 0.021 0.053 0.005
20170318 50 72 0.7 0.026 0.054 0.007
20170319 54 74 0.7 0.026 0.044 0.005
20170320 68 97 0.8 0.009 0.064 0.006
20170321 67 99 0.6 0.029 0.032 0.006
20170322 31 51 0.5 0.028 0.034 0.005
20170323 42 72 0.6 0.026 0.044 0.006
20170324 35 58 0.6 0.020 0.044 0.005
20170325 42 64 0.6 0.023 0.042 0.006
20170326 43 60 0.5 0.031 0.031 0.006
20170327 54 73 0.8 0.033 0.031 0.005
20170328 57 81 0.7 0.020 0.044 0.005
20170329 39 55 0.6 0.034 0.034 0.005
20170330 42 66 0.6 0.025 0.045 0.005
20170331 33 49 0.6 0.020 0.038 0.004
20170401 16 23 0.4 0.030 0.026 0.004
20170402 33 46 0.5 0.034 0.030 0.004
20170403 53 77 0.6 0.033 0.045 0.006
20170404 46 73 0.7 0.033 0.051 0.006
20170405 30 48 0.6 0.020 0.049 0.005
20170406 18 26 0.4 0.024 0.028 0.004
20170407 28 42 0.5 0.020 0.039 0.004
20170408 41 62 0.6 0.021 0.040 0.005
20170409 26 40 0.5 0.031 0.021 0.004
