DATE PM2p5 PM10
20150203 33 61
20150204 47 79
20150205 52 93
20150206 29 53
20150207 25 46
20150208 15 101
20150209 17 40
20150210 47 98
20150211 45 88
20150212 13 35
20150213 16 31
20150214 30 56
20150215 39 78
20150216 24 41
20150217 36 65
20150218 42 62
20150219 39 62
20150220 33 51
20150221 16 24
20150222 33 249
20150223 66 569
20150224 27 108
20150225 26 72
20150226 17 34
20150227 17 31
20150228 23 43
20150301 28 99
20150302 24 90
20150303 24 52
20150304 17 42
20150305 25 41
20150306 27 46
20150307 28 51
20150308 47 86
20150309 33 71
20150310 11 32
20150311 17 40
20150312 12 32
20150313 20 43
20150314 19 38
20150315 24 43
20150316 43 92
20150317 65 130
20150318 40 76
20150319 27 54
20150320 35 101
20150321 58 171
20150322 43 147
20150323 15 56
20150324 18 43
20150325 21 42
20150326 22 46
20150327 26 53
20150328 22 45
20150329 31 71
20150330 46 151
20150331 51 109
20150401 15 23
20150402 12 22
20150403 19 33
20150404 8 14
20150405 10 17
20150406 21 60
20150407 16 40
20150408 15 29
20150409 25 49
20150410 27 55
20150411 33 68
20150412 26 48
20150413 14 26
20150414 14 19
20150415 27 44
20150416 29 78
20150417 16 69
20150418 18 57
20150419 14 29
20150420 8 14
20150421 21 43
20150422 33 71
20150423 32 63
20150424 31 72
20150425 20 59
20150426 27 58
20150427 31 63
20150428 24 48
20150429 26 42
20150430 18 31
20150501 24 42
20150502 23 37
20150503 17 25
20150504 15 49
20150505 12 38
20150506 15 45
20150507 17 42
20150508 27 54
20150509 20 40
20150510 18 40
20150511 19 41
20150512 16 38
20150513 22 66
20150514 27 57
20150515 47 97
20150516 24 50
20150517 30 53
20150518 21 42
20150519 29 49
20150520 17 40
20150521 21 42
20150522 26 51
20150523 21 42
20150524 16 31
20150525 23 41
20150526 21 39
20150527 20 36
20150528 21 41
20150529 25 47
20150530 23 38
20150531 25 42
20150601 21 37
20150602 21 36
20150603 14 42
20150604 17 39
20150605 17 31
20150606 17 31
20150607 18 31
20150608 22 37
20150609 26 43
20150610 27 48
20150611 24 40
20150612 25 44
20150613 34 73
