DATE PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
201101 44.0323 -7.1839 -3.4065 -10.5226 2.7387 0.2871 7.1161
201102 74.5714 1.2214 5.8643 -2.4607 4.0321 1.0393 8.3250
201103 64.7742 3.6161 8.3452 -0.1194 3.3032 0.4710 8.4645
201104 55.7667 10.7200 15.5967 6.7733 4.7333 3.6700 8.8233
201105 71.9355 17.9258 22.9839 13.5710 5.6419 1.7226 9.4129
201106 43.9333 21.9767 26.5767 18.3833 6.1267 13.4833 8.1933
201107 28.0968 24.6387 27.9968 21.9742 7.9871 36.4839 6.0226
201108 26.8710 25.7742 29.4516 22.9677 7.4581 5.3806 6.4839
201109 29.1000 21.7500 26.5733 17.7067 4.4667 0.8533 8.8667
201110 42.4839 14.2226 19.3484 9.6548 3.8065 1.0323 9.6935
201111 37.6333 10.6867 14.6933 7.1633 6.0433 1.8733 7.5300
201112 45.8065 -0.8710 2.8516 -4.1097 3.9290 0.2290 6.9613
201201 59.7097 -2.7871 1.3387 -6.3000 3.6129 0.2161 7.6387
201202 50.4483 -2.0448 2.9690 -6.0207 3.4000 0.0276 8.9897
201203 46.8065 5.0903 9.5226 1.4839 5.1935 1.5290 8.0387
201204 51.3333 12.3400 17.8867 7.7667 4.6000 5.2333 10.1200
201205 51.7097 19.7323 25.1484 15.3516 4.3032 0.2645 9.7968
201206 40.4333 24.1400 29.7167 19.9567 5.4167 3.0633 9.7600
201207 28.0645 25.4129 29.0258 22.3871 7.3516 14.4806 6.6387
201208 21.7419 27.1323 30.8516 23.9129 6.7548 14.9968 6.9387
201209 27.3000 20.9633 24.9767 17.4400 5.6200 7.0667 7.5367
201210 32.8387 15.3484 20.5032 11.0484 3.6032 3.2032 9.4548
201211 42.0000 5.5400 9.5167 1.7600 4.5367 2.2600 7.7567
201212 41.3226 -4.1194 -0.5194 -7.3903 3.4677 1.3355 6.8710
201301 63.3548 -3.4323 0.3355 -6.5871 4.2613 0.7129 6.9226
201302 44.5714 -1.2393 2.7750 -4.9179 4.7179 2.6464 7.6929
201303 55.3871 5.1355 10.8355 0.7194 3.3194 0.8806 10.1161
201304 52.0000 10.0067 14.9800 5.7033 5.0067 2.3900 9.2767
201305 55.3871 18.2226 23.5871 13.6613 4.6710 4.2581 9.9258
201306 40.1000 24.4100 29.2367 20.4600 5.4433 0.9433 8.7767
201307 34.0968 25.5194 28.3355 23.4258 8.4935 21.8129 4.9097
201308 34.9355 27.6968 31.0871 24.8387 6.2226 4.7935 6.2484
201309 28.1333 21.7533 25.9433 18.0033 5.5367 4.6167 7.9400
201310 28.9677 15.7774 21.2355 10.9032 2.8548 0.4355 10.3323
201311 42.4667 6.1500 10.6600 2.1100 3.9133 1.5633 8.5500
201312 55.3226 -0.1839 3.5258 -3.4968 3.9839 0.7968 7.0226
201401 56.9355 -0.6774 3.5419 -4.8677 3.3871 0.4194 8.4097
201402 56.8929 1.9286 6.6036 -1.8107 4.0000 0.5786 8.4143
201403 60.0968 7.8903 13.0581 3.5258 3.9323 0.2323 9.5323
201404 57.6000 13.9633 19.6367 9.4000 4.7467 1.0333 10.2367
201405 62.7419 18.9452 25.2516 13.7968 3.1710 2.0323 11.4548
201406 38.1667 23.0633 27.7700 19.7133 6.6767 3.2700 8.0567
201407 38.4516 26.1484 30.6355 22.9258 6.8355 6.7065 7.7097
201408 29.3226 25.1645 28.9516 22.1161 7.1323 5.5742 6.8355
201409 28.9000 22.0633 26.9833 18.0433 4.9300 2.9367 8.9400
201410 33.5806 15.6355 21.4161 10.6839 3.3194 1.6839 10.7323
201411 44.6667 8.9533 13.7867 4.8833 4.3000 1.3833 8.9033
201412 43.2258 -2.9194 1.4968 -6.7226 3.4452 0.5774 8.2194
201501 48.9355 -0.9355 3.5839 -4.8065 3.8516 0.3645 8.3903
201502 83.7143 1.0429 5.9607 -2.8857 4.4500 0.8107 8.8464
201503 70.7419 6.2903 12.4452 0.9806 2.7871 0.3097 11.4645
201504 44.8000 13.3267 18.8267 8.4033 4.9700 2.6833 10.4233
201505 45.0000 18.8839 24.8871 13.5742 4.1355 0.9323 11.3129
201506 34.7667 23.5867 29.4633 18.9267 5.5933 3.3000 10.5367
201507 29.6129 25.8355 30.0258 22.6129 7.0065 7.2903 7.4129
201508 33.4516 26.2677 30.7871 22.8097 5.6419 2.3516 7.9774
201509 27.9333 22.3900 28.0767 17.5167 3.8467 0.8667 10.5600
201510 44.9355 15.5065 21.2194 10.7806 2.8419 2.6290 10.4387
201511 33.0000 8.9000 12.7400 5.8667 6.5533 3.4867 6.8733
201512 48.0968 1.5935 5.9968 -2.1194 4.1258 0.9387 8.1161
201601 50.1290 -3.2000 1.1258 -6.8097 3.9903 0.0323 7.9355
201602 45.1724 0.1931 5.0759 -4.0759 3.6552 1.6414 9.1517
201603 64.0000 7.0452 12.6129 2.3548 3.5581 1.3065 10.2581
201604 70.9000 14.0667 20.3167 9.0500 4.8033 2.5600 11.2667
201605 55.8387 19.5581 25.6871 14.1419 4.5871 5.1774 11.5452
201606 45.5667 23.5967 28.6800 19.4633 5.2500 1.8133 9.2167
201607 33.4839 26.2355 29.8226 23.2871 7.1935 11.5548 6.5355
201608 34.2903 27.9968 32.6355 24.4516 4.6065 2.1645 8.1839
201609 37.3667 23.0833 27.8900 19.2567 5.7600 1.1000 8.6333
201610 37.5806 16.0806 21.3097 11.6194 5.2806 2.4129 9.6903
201611 52.2333 6.7733 11.6067 2.8233 4.7433 0.5567 8.7833
201612 47.8710 1.2452 5.8000 -2.6710 4.7000 1.9710 8.4710
201701 53.0645 -1.8290 2.9161 -5.7677 3.4968 0.4806 8.6839
201702 45.8214 -0.2464 4.8036 -4.7571 2.8214 0.3964 9.5607
201703 60.0968 6.3258 12.3097 1.7129 3.8968 0.2548 10.5968
201704 55.9000 13.9333 19.9500 9.0733 4.3800 2.0533 10.8767
201705 62.7419 19.4935 25.4355 14.3613 3.8742 0.5194 11.0742
201706 41.1333 23.2733 28.7500 18.7067 4.6733 2.2200 10.0433
201707 33.3548 26.9226 30.3935 24.3097 7.8871 20.0323 6.0839
201708 21.3871 25.9161 29.6548 22.8935 7.0484 9.5806 6.7613
201709 32.2000 22.1033 27.4333 17.4833 4.1933 1.1667 9.9500
201710 29.0645 16.4097 22.2484 11.6323 4.5226 0.8548 10.6161
201711 41.6333 5.6267 10.4600 1.2867 4.1500 1.3567 9.1733
201712 50.3548 -1.9290 2.1581 -5.7484 3.8742 1.1226 7.9065
